X (Lat),Y (Long),CNTY_NM,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Centroid Location
33.97408519,-99.77871109,Foard,79,48155,2.302711251,0.177999074,POINT (-99.77871109 33.97408519)
30.26636128,-98.39974086,Blanco,16,48031,1.683596565,0.173305894,POINT (-98.39974086 30.26636128)
33.60750375,-102.3430919,Hockley,111,48219,1.922123942,0.228718494,POINT (-102.3430919 33.60750375)
